Последовательность;Код работы.2;Наименование работы;Код работы.3;Наименование работы2;Код работы.4;Наименование работы3;Код работы.5;Наименование работы4
2210;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;091;Стяжка помещений;281;Плавающий пол из фибробетона
2210;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;091;Стяжка помещений;600;Фиброцементная стяжка (помещений и МОП)
2220;004;Надземная часть здания;024;Витражное остекление;057;Витражное остекление;125;Каркасы витражных конструкций
2225;004;Надземная часть здания;024;Витражное остекление;057;Витражное остекление;540;Каркасы тёплых витражей
2230;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;091;Стяжка помещений;279;Фиброцементная стяжка (квартирные балконы)
2235;004;Надземная часть здания;024;Витражное остекление;057;Витражное остекление;541;Утеплитель до заполнения тёплых витражей
2240;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;097;Керамическая плитка;291;Плитка стен в с/у
2240;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;097;Керамическая плитка;587;Плитка стен в с/у (ДОО)
2240;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;103;Отделка бассейна;603;Облицовка плиткой чаши бассейна
2245;004;Надземная часть здания;024;Витражное остекление;057;Витражное остекление;542;Глухое остекление тёплых витражей
2250;004;Надземная часть здания;024;Витражное остекление;057;Витражное остекление;126;Глухое витражное остекление
2255;004;Надземная часть здания;024;Витражное остекление;057;Витражное остекление;543;Наружные нащельники и межэтажные швы тёплых витражей
2260;004;Надземная часть здания;025;Конструкции металлические;059;Конструкции металлические;440;Ограждения лестниц
2265;004;Надземная часть здания;024;Витражное остекление;057;Витражное остекление;544;Внутренние нащельники тёплых витражей
2270;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;091;Стяжка помещений;280;Обмазочная гидроизоляция
2275;004;Надземная часть здания;024;Витражное остекление;057;Витражное остекление;545;Открывающиеся створки и двери тёплых витражей
2275;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;103;Отделка бассейна;601;Гидроизоляция чаши бассейна
2280;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;097;Керамическая плитка;421;Теплый пол
2285;004;Надземная часть здания;024;Витражное остекление;057;Витражное остекление;546;Отливы витражных конструкций
2290;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;097;Керамическая плитка;292;Плитка пола и 1-го ряда стен в с/у
2300;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;596;Трапы
